policy,speed_ratio,w_align,n,safe_mean,chi_mean,chi_local_mean,tau_mean,xi_mean
p0_nearest,0.9,0.0,120,0.3636067708333333,0.32941694608646327,5.191436250525917,189.30557211066082,6.958333333333333
p0_nearest,0.9,0.05,120,0.3630859375,0.6560301755569801,4.297358530668843,192.55423668651596,11.354166666666666
p0_nearest,0.9,0.1,120,0.3671875,1.402941520822992,3.0078775579906742,195.1262036166469,13.708333333333334
p0_nearest,0.9,0.15,120,0.3699869791666667,2.531980021864833,1.7736756053483143,197.17505148959143,16.541666666666668
p0_nearest,0.9,0.2,120,0.3748697916666667,3.20552277287806,1.0958526547690148,197.7470085292754,18.166666666666668
p0_nearest,0.9,0.25,120,0.37649739583333336,4.054843435927227,0.8533293313673501,198.9488320324941,19.458333333333332
p0_nearest,0.9,0.3,120,0.3694661458333333,4.321584667038254,0.6643083110785309,198.68235621815882,19.791666666666668
p0_nearest,0.9,0.35,120,0.3826822916666667,4.022869174922693,0.4033574542333181,198.1475911672059,23.041666666666668
p0_nearest,0.9,0.4,120,0.373046875,4.486137549543236,0.2331488883894693,197.0452221481387,23.416666666666668
p0_nearest,0.9,0.45,120,0.36419270833333334,4.276972844378761,0.24751502210491796,197.17622056750255,23.291666666666668
p0_nearest,0.9,0.5,120,0.2604166666666667,4.397621055247423,0.1902783288897749,196.99376012792794,21.708333333333332
p0_nearest,0.9,0.55,120,0.1900390625,4.485984963709014,0.07479166761629497,198.37590080122135,22.583333333333332
p0_nearest,0.9,0.6,120,0.17994791666666668,4.799320438729007,0.12258518839361358,198.16305801518865,22.25
p0_nearest,0.9,0.65,120,0.16875,4.697269538832555,0.05532054317381193,196.1174401109869,21.375
p0_nearest,0.9,0.7,120,0.15638020833333333,4.325731263023431,0.04788469793619319,196.48990255602908,23.541666666666668
p0_nearest,0.9,0.75,120,0.14641927083333334,4.829788428570795,0.05859153546468427,193.3146594782025,24.041666666666668
p0_nearest,0.9,0.8,120,0.13743489583333332,5.00814511246006,0.023491821241540138,198.38209222115802,23.291666666666668
p0_nearest,0.9,0.85,120,0.12727864583333334,5.421214229952847,0.028241658425556673,197.9700577699763,25.875
p0_nearest,0.9,0.9,120,0.1275390625,4.772759116660137,0.04195892914699207,196.63221188208203,23.791666666666668
p0_nearest,0.9,0.95,120,0.10091145833333333,4.934855016671845,0.019501126044733367,197.6046151949874,27.041666666666668
p0_nearest,0.9,1.0,120,0.06966145833333333,4.296927321020888,3.416623332857285,196.75671845694498,27.291666666666668
p0_nearest,1.1,0.0,120,0.3270182291666667,0.21416944832540313,4.543848005138127,179.69709199168227,5.416666666666667
p0_nearest,1.1,0.05,120,0.3299479166666667,0.4415589863214456,4.217742789581222,187.04312229004864,9.729166666666666
p0_nearest,1.1,0.1,120,0.3390625,1.4309705742848196,2.654313144613415,191.81759019464582,13.208333333333334
p0_nearest,1.1,0.15,120,0.34544270833333335,2.389411634692805,1.627465075266655,197.56158561560906,15.291666666666666
p0_nearest,1.1,0.2,120,0.3409505208333333,3.3297568952392935,1.0900101130000863,198.618572852446,18.625
p0_nearest,1.1,0.25,120,0.346875,3.9552658092253172,0.5880237270567222,198.41857529818273,19.583333333333332
p0_nearest,1.1,0.3,120,0.34088541666666666,4.0218477131508585,0.38437257490782645,198.85498053964469,20.833333333333332
p0_nearest,1.1,0.35,120,0.3444010416666667,4.341688961845293,0.30726361601563923,198.17060695588364,21.833333333333332
p0_nearest,1.1,0.4,120,0.3348307291666667,4.20589397246697,0.305687034315506,198.627667173897,21.666666666666668
p0_nearest,1.1,0.45,120,0.33346354166666664,3.4498121048563744,0.23092092977374615,193.36593772294768,22.0
p0_nearest,1.1,0.5,120,0.24108072916666667,3.6837611902850207,0.0914046554560563,197.50014464491142,22.333333333333332
p0_nearest,1.1,0.55,120,0.1806640625,3.5359951197936486,0.1338085590525661,198.5083955391254,23.041666666666668
p0_nearest,1.1,0.6,120,0.1599609375,3.9231879832506045,0.17342425538340772,196.7636704348606,23.5
p0_nearest,1.1,0.65,120,0.14615885416666666,3.8244134173680076,0.1511040519175067,198.18691926696692,21.791666666666668
p0_nearest,1.1,0.7,120,0.133203125,4.458726149814463,0.048269176515635843,197.18019993739188,22.5
p0_nearest,1.1,0.75,120,0.12194010416666666,4.376529639922099,0.04565305836189283,197.28117498166915,23.333333333333332
p0_nearest,1.1,0.8,120,0.11536458333333334,4.4381852438770775,0.0580075963700836,198.99999999999986,23.208333333333332
p0_nearest,1.1,0.85,120,0.10638020833333334,4.344613531159028,0.05274095942894201,198.3028069534126,24.541666666666668
p0_nearest,1.1,0.9,120,0.102734375,4.6283861579415,0.02911074728172874,197.42938285769543,26.0
p0_nearest,1.1,0.95,120,0.09954427083333334,4.971818638043901,0.05651216791247881,196.06355795586322,26.125
p0_nearest,1.1,1.0,120,0.05904947916666667,4.786667689937184,8.648213584806854,195.04557270776317,28.833333333333332
p0_nearest,1.3,0.0,120,0.275390625,0.24276124992131007,3.0861743148476344,161.60040030584787,6.041666666666667
p0_nearest,1.3,0.05,120,0.28567708333333336,0.6346714602652491,2.4860440995581703,182.81367048747768,9.3125
p0_nearest,1.3,0.1,120,0.2857421875,1.3700559044924023,1.6441142748998614,190.38952404488202,13.520833333333334
p0_nearest,1.3,0.15,120,0.2965494791666667,2.8417156543613964,0.8502116049269887,195.55531015138737,15.458333333333334
p0_nearest,1.3,0.2,120,0.28860677083333336,4.199064246191644,0.7036382370570257,197.50398994962057,17.666666666666668
p0_nearest,1.3,0.25,120,0.29401041666666666,4.360592015399141,0.42447534590654856,197.83404237744818,18.958333333333332
p0_nearest,1.3,0.3,120,0.2770182291666667,4.6352917990717595,0.30245558476605117,198.4278325100858,19.083333333333332
p0_nearest,1.3,0.35,120,0.2957682291666667,4.529309367574594,0.22462795139548877,196.64309446423286,21.291666666666668
p0_nearest,1.3,0.4,120,0.27024739583333335,4.214187689176507,0.2040887712133889,197.12609445558957,21.666666666666668
p0_nearest,1.3,0.45,120,0.28268229166666664,4.484291404722437,0.24026094833352912,197.70847030323088,21.958333333333332
p0_nearest,1.3,0.5,120,0.19368489583333334,4.406210858499538,0.1295850266471708,195.76311530035898,22.916666666666668
p0_nearest,1.3,0.55,120,0.14850260416666666,4.085076376513302,0.10324848934312288,196.93935766232758,21.333333333333332
p0_nearest,1.3,0.6,120,0.14283854166666668,4.6166512351567315,0.00939000344831456,195.40644353778305,23.208333333333332
p0_nearest,1.3,0.65,120,0.12532552083333334,5.249937212691049,0.03132207514761025,197.81545185235143,25.0
p0_nearest,1.3,0.7,120,0.108203125,5.363519866175025,0.017743183115994314,194.04428207020234,27.625
p0_nearest,1.3,0.75,120,0.10579427083333333,5.241118856059499,0.0048302105955952855,196.43705288256467,30.020833333333332
p0_nearest,1.3,0.8,120,0.09186197916666666,5.943583138208644,0.001871339160133791,197.50629883149833,30.583333333333332
p0_nearest,1.3,0.85,120,0.090234375,5.991172178890135,0.00023030502027564448,195.99472637951388,35.333333333333336
p0_nearest,1.3,0.9,120,0.08157552083333333,6.545878761601234,0.0020111441373972198,195.6938951505904,35.270833333333336
p0_nearest,1.3,0.95,120,0.07180989583333333,6.789960348197189,0.0028433289582592866,193.37416008798672,34.708333333333336
p0_nearest,1.3,1.0,120,0.04095052083333333,7.308549132756038,9.648643366489337,196.10857741281367,32.875
p0_nearest,1.4,0.0,120,0.26412760416666664,0.3167678953418414,2.0431715533579453,160.38310867827536,7.145833333333333
p0_nearest,1.4,0.05,120,0.2669270833333333,0.6072692263567895,2.251104548338454,179.81369318431112,9.6875
p0_nearest,1.4,0.1,120,0.26829427083333335,1.3957645018701337,1.597749291140399,188.4589440459749,13.395833333333334
p0_nearest,1.4,0.15,120,0.26953125,2.67292648824679,0.786485847432486,191.92261804867854,14.666666666666666
p0_nearest,1.4,0.2,120,0.27298177083333336,3.9740828190171156,0.8052158559586763,195.4257243563595,16.25
p0_nearest,1.4,0.25,120,0.2645182291666667,4.882601506086149,0.33091328868129544,197.06653848997905,17.083333333333332
p0_nearest,1.4,0.3,120,0.2599609375,4.900225401719285,0.1934399985387468,197.52370387633528,19.583333333333332
p0_nearest,1.4,0.35,120,0.2686848958333333,4.906753368689359,0.1977191811864191,196.92018841910132,20.729166666666668
p0_nearest,1.4,0.4,120,0.25826822916666664,4.734363000795986,0.1846595482967787,195.36098323614036,23.125
p0_nearest,1.4,0.45,120,0.237890625,4.652557786763818,0.10969267450871364,195.81475303709027,25.916666666666668
p0_nearest,1.4,0.5,120,0.17506510416666668,4.909612772456827,0.033764152586040805,195.3395843914329,23.333333333333332
p0_nearest,1.4,0.55,120,0.13287760416666666,4.915003772193628,0.10488003972999592,195.97403890981957,27.416666666666668
p0_nearest,1.4,0.6,120,0.12161458333333333,5.279200991556464,0.0264239013042892,195.4190967733947,27.479166666666668
p0_nearest,1.4,0.65,120,0.11067708333333333,5.398452942064491,0.01859694147517846,194.9372437994404,29.3125
p0_nearest,1.4,0.7,120,0.10052083333333334,5.878045161951499,0.02146787453696507,193.61844233503678,30.6875
p0_nearest,1.4,0.75,120,0.0939453125,6.0276006047741255,0.021971003546683368,196.96752806390228,34.354166666666664
p0_nearest,1.4,0.8,120,0.08619791666666667,6.562632391233556,0.002921378159729959,196.39844393710058,33.604166666666664
p0_nearest,1.4,0.85,120,0.07734375,6.784792561153226,0.0012008034075841503,192.56943436870884,31.104166666666668
p0_nearest,1.4,0.9,120,0.072265625,7.501299126488549,0.00014022822899783732,189.3700188655203,28.708333333333332
p0_nearest,1.4,0.95,120,0.06536458333333334,7.959682961284691,0.0010185909358741297,194.8544495102304,28.958333333333332
p0_nearest,1.4,1.0,120,0.03723958333333333,9.36612894899314,8.005369615282666,197.74456928045043,20.958333333333332
p1_intercept,0.9,0.0,120,0.36106770833333335,0.27129605450444344,5.426537958836038,183.8133300156777,6.291666666666667
p1_intercept,0.9,0.05,120,0.3649088541666667,0.45195038123576986,4.69963069857252,191.067467594791,12.395833333333334
p1_intercept,0.9,0.1,120,0.37454427083333336,0.910252042245191,3.413285699905566,194.88570686141196,13.270833333333334
p1_intercept,0.9,0.15,120,0.3736979166666667,1.3782653612130018,2.2020118783429643,195.57090549208425,16.291666666666668
p1_intercept,0.9,0.2,120,0.3728515625,1.9159275604587174,1.8655762223357466,194.31653459401267,18.041666666666668
p1_intercept,0.9,0.25,120,0.3776041666666667,2.3958298697713625,1.2917261200283845,195.7580044284254,20.666666666666668
p1_intercept,0.9,0.3,120,0.38450520833333335,2.6205201201891746,1.0778505388355295,195.0907681536,20.583333333333332
p1_intercept,0.9,0.35,120,0.3689453125,3.232302556825155,0.6988816367942126,198.00681356861824,23.625
p1_intercept,0.9,0.4,120,0.36953125,3.0335477640624746,0.4415723623197835,195.67526873192546,22.416666666666668
p1_intercept,0.9,0.45,120,0.3729166666666667,3.446206799652819,0.33178398412420246,196.26530890023477,21.541666666666668
p1_intercept,0.9,0.5,120,0.25852864583333335,3.5307701115490517,0.40699445039992643,197.0629395591334,23.75
p1_intercept,0.9,0.55,120,0.1845703125,3.8734026867788867,0.12559380631056227,197.44442013998454,25.375
p1_intercept,0.9,0.6,120,0.1615234375,4.033328864137773,0.10728075103325795,198.60049859566632,24.916666666666668
p1_intercept,0.9,0.65,120,0.157421875,4.312074017994722,0.11903803250098113,197.37907433338322,22.791666666666668
p1_intercept,0.9,0.7,120,0.14147135416666667,4.2828344350168,0.07541268580900144,196.38883956748188,23.25
p1_intercept,0.9,0.75,120,0.12955729166666666,4.389250071869863,0.0652150588969967,198.0572638812701,23.916666666666668
p1_intercept,0.9,0.8,120,0.11315104166666666,4.168293614490815,0.06094850654290913,197.55936406938574,23.208333333333332
p1_intercept,0.9,0.85,120,0.10462239583333334,4.89388620966393,0.05174228350114223,198.25434921970523,25.708333333333332
p1_intercept,0.9,0.9,120,0.1005859375,5.086879984705264,0.06785118862000719,197.01137513364247,23.833333333333332
p1_intercept,0.9,0.95,120,0.09518229166666667,4.903993067924402,0.057542805268368545,198.2113188814296,26.166666666666668
p1_intercept,0.9,1.0,120,0.0501953125,5.063545407735033,3.4813514553393046,198.466061722484,32.375
p1_intercept,1.1,0.0,120,0.36497395833333335,0.30210073871025206,5.452320948427041,186.82124987410515,6.416666666666667
p1_intercept,1.1,0.05,120,0.3631510416666667,0.4559105805534306,4.72712451156032,191.94825846558186,11.479166666666666
p1_intercept,1.1,0.1,120,0.36907552083333334,0.7764667286546366,3.367115751130527,195.8352081025753,14.375
p1_intercept,1.1,0.15,120,0.3814453125,1.4960382716282477,2.229120086331287,193.40663761535572,16.541666666666668
p1_intercept,1.1,0.2,120,0.36940104166666665,1.8657513230137481,1.904447075469606,194.7435798516634,17.625
p1_intercept,1.1,0.25,120,0.3728515625,2.448866737864244,1.3088714807791073,195.23884325106576,20.333333333333332
p1_intercept,1.1,0.3,120,0.3734375,2.7340563953124275,0.8073664512356548,197.46756662168107,21.291666666666668
p1_intercept,1.1,0.35,120,0.37721354166666665,2.7272782794151436,0.6176805361944441,195.52915883072663,23.0
p1_intercept,1.1,0.4,120,0.373828125,3.3763271696933486,0.6429052641619823,197.4606083069028,23.0
p1_intercept,1.1,0.45,120,0.36595052083333335,3.2656243199046213,0.4407330800906859,197.81793492628083,22.083333333333332
p1_intercept,1.1,0.5,120,0.2552734375,3.2436211291510944,0.22410045003637952,194.44448521227707,21.833333333333332
p1_intercept,1.1,0.55,120,0.18795572916666667,3.470637607224011,0.23734446845452345,195.78586870970477,22.625
p1_intercept,1.1,0.6,120,0.16829427083333334,3.7238380908232633,0.2375556442930685,198.3017836830443,23.625
p1_intercept,1.1,0.65,120,0.14876302083333334,3.879633544629428,0.06254023230740385,195.86524572521836,22.333333333333332
p1_intercept,1.1,0.7,120,0.12604166666666666,4.275011918875959,0.07576167206488439,196.9171797001559,24.416666666666668
p1_intercept,1.1,0.75,120,0.11705729166666666,4.336062457371428,0.027431880327551627,197.13927019606953,22.25
p1_intercept,1.1,0.8,120,0.10891927083333333,4.770215589366325,0.06213968348504721,197.6464130837733,26.25
p1_intercept,1.1,0.85,120,0.09270833333333334,5.073789765633269,0.04033432250125106,196.47497008226583,24.708333333333332
p1_intercept,1.1,0.9,120,0.093359375,4.9191220786229986,0.0629385304475422,196.664572935834,25.208333333333332
p1_intercept,1.1,0.95,120,0.08463541666666667,5.368350958711818,0.012702460716423355,198.95258750769543,31.041666666666668
p1_intercept,1.1,1.0,120,0.04283854166666667,5.843632636570879,5.2224677086718305,188.77913025808394,34.3125
p1_intercept,1.3,0.0,120,0.33209635416666666,0.3074647812007743,3.8839778102559754,179.93263954985335,6.583333333333333
p1_intercept,1.3,0.05,120,0.3274739583333333,0.5056865146195153,3.9331739292686,185.9614215295188,10.0
p1_intercept,1.3,0.1,120,0.33515625,0.9084576736644034,2.880731146080169,194.6936367135214,12.979166666666666
p1_intercept,1.3,0.15,120,0.3359375,1.5682040965328097,1.712151917260052,192.58654186315215,15.75
p1_intercept,1.3,0.2,120,0.3311848958333333,2.2974013191020948,1.092307376175511,194.78589366585277,17.291666666666668
p1_intercept,1.3,0.25,120,0.3171875,2.7764337181277012,0.7842181250046063,197.090065757558,19.083333333333332
p1_intercept,1.3,0.3,120,0.32447916666666665,3.0162110259575816,0.5961363040107038,196.42385471717577,19.708333333333332
p1_intercept,1.3,0.35,120,0.3151041666666667,3.3632277018362537,0.5088389954392194,196.4989071846332,21.5
p1_intercept,1.3,0.4,120,0.2974609375,3.737986087990291,0.37108497790085554,196.90166619693136,22.666666666666668
p1_intercept,1.3,0.45,120,0.3095703125,3.742212833653599,0.16023425501745264,195.1260727107251,22.708333333333332
p1_intercept,1.3,0.5,120,0.18932291666666667,4.129220226877992,0.07054256978237161,195.44545197180716,21.708333333333332
p1_intercept,1.3,0.55,120,0.1515625,4.377489465446735,0.0658296949323696,196.61136374485903,21.708333333333332
p1_intercept,1.3,0.6,120,0.12734375,4.204173459078887,0.08812629411648994,197.59534223497297,23.916666666666668
p1_intercept,1.3,0.65,120,0.10891927083333333,5.22148707873525,0.09687963705752946,197.52485363580715,27.666666666666668
p1_intercept,1.3,0.7,120,0.104296875,5.598260487587513,0.04542653502852036,196.38329286254577,34.458333333333336
p1_intercept,1.3,0.75,120,0.0876953125,5.640036203483358,0.03548393393041322,196.10483412464467,31.791666666666668
p1_intercept,1.3,0.8,120,0.08645833333333333,6.731838951210997,0.03209836422999717,193.22506141001526,34.333333333333336
p1_intercept,1.3,0.85,120,0.08684895833333334,7.048511349948155,0.028113281525098278,193.9208934635691,29.75
p1_intercept,1.3,0.9,120,0.07662760416666667,7.290554716272246,1.1360954201244607e-05,190.05059239581163,27.0625
p1_intercept,1.3,0.95,120,0.06477864583333333,7.88868884289585,0.0026671951440321506,194.66257146706144,30.416666666666668
p1_intercept,1.3,1.0,120,0.043229166666666666,7.3664383155053565,6.808732393399478,192.7035333904638,24.125
p1_intercept,1.4,0.0,120,0.2889322916666667,0.37721626168341943,3.3400883243991037,172.77783172395718,6.041666666666667
p1_intercept,1.4,0.05,120,0.2931640625,0.501144918226727,3.036337349720962,180.82075312768436,9.041666666666666
p1_intercept,1.4,0.1,120,0.28932291666666665,1.1420977821317255,1.8001352369108816,189.22218065295473,13.25
p1_intercept,1.4,0.15,120,0.2990234375,1.6827692997306352,1.4650383615036993,190.45990316795863,15.541666666666666
p1_intercept,1.4,0.2,120,0.28756510416666664,2.816590605869965,0.7563070633351577,196.97406878703714,17.375
p1_intercept,1.4,0.25,120,0.2877604166666667,3.105514864766981,0.6731901112944941,197.05671566001558,19.541666666666668
p1_intercept,1.4,0.3,120,0.2888671875,3.4529236465983697,0.5769043989621944,197.22738318926082,20.791666666666668
p1_intercept,1.4,0.35,120,0.2764973958333333,3.9041338178100924,0.27566608395331815,195.16993736481876,19.958333333333332
p1_intercept,1.4,0.4,120,0.2580078125,4.440950820466139,0.23908802510717594,197.08819732911263,23.583333333333332
p1_intercept,1.4,0.45,120,0.246875,4.630847395779388,0.2088054077072296,194.73917106666855,28.0
p1_intercept,1.4,0.5,120,0.16842447916666667,4.522397660114589,0.09391730644383661,195.1716189393245,23.458333333333332
p1_intercept,1.4,0.55,120,0.12649739583333333,5.101236827977321,0.009075710998660646,195.90818277328648,28.333333333333332
p1_intercept,1.4,0.6,120,0.11223958333333334,5.699664176020108,0.07936049953943698,193.53997951605203,29.458333333333332
p1_intercept,1.4,0.65,120,0.10944010416666666,6.102648525253778,0.009359499046830958,191.0436492120855,30.375
p1_intercept,1.4,0.7,120,0.0908203125,6.973810339000125,0.0038726322718014247,190.4774882968119,31.6875
p1_intercept,1.4,0.75,120,0.08092447916666666,6.767195991841444,0.009322842435574057,186.5550868822975,27.729166666666668
p1_intercept,1.4,0.8,120,0.07708333333333334,7.332915445599235,0.03415439113354741,191.13488546914044,27.083333333333332
p1_intercept,1.4,0.85,120,0.07623697916666666,8.042654681260409,0.002740772798027061,188.84402182380393,23.4375
p1_intercept,1.4,0.9,120,0.0666015625,7.99874683524404,0.013841727689367778,190.91181490207134,25.375
p1_intercept,1.4,0.95,120,0.0611328125,8.364174151038334,0.008592254538373003,189.57060703747388,19.270833333333332
p1_intercept,1.4,1.0,120,0.033854166666666664,8.928676255047732,6.050910496733292,196.36396197694103,19.895833333333332
